"","logFC","AveExpr","t","P.Value","adj.P.Val","B","BH"
"ENSG00000268401",0.091901009026353,5.36943654499399,0.338962643516781,0.746263677339587,0.814116799236314,-7.67740344202176,0.814116799236314
"ENSG00000259287",-0.056435614125073,5.06004791609858,-0.338840987089599,0.746350791451731,0.814167953100215,-7.67745059157536,0.814167953100215
"EFL1",0.0448872544407255,9.72203409325119,0.33863432406596,0.746498785384695,0.814285509537164,-7.67753064922904,0.814285509537164
"SBSPON",0.0646123411992523,5.59018581952104,0.338528661163449,0.746574456473979,0.814324167348699,-7.67757156303968,0.814324167348699
"ENSG00000275202",0.0608991434887178,5.85109938628074,0.338443404127826,0.746635516046356,0.814346884378397,-7.67760456652385,0.814346884378397
"ANKRD20A1",-0.0618003403918088,5.96203185674387,-0.338263331299939,0.746764487636872,0.81444366583641,-7.67767424745262,0.81444366583641
"ZNF25",0.0601620909106515,9.5615935156545,0.33800936564367,0.746946397978598,0.814598170338621,-7.67777246127404,0.814598170338621
"BRSK1",0.0516356925006418,7.70668776883997,0.337848393604016,0.747061708184085,0.814680029920482,-7.67783467576691,0.814680029920482
"RBAK-RBAKDN",-0.16505150358939,5.18503422975549,-0.337540907473959,0.7472819918042,0.814864469166313,-7.67795343759079,0.814864469166313
"LIPT2-AS1",-0.0485406538851816,7.87206089350486,-0.337499922872401,0.747311355226237,0.814864469166313,-7.67796925940724,0.814864469166313
"POM121C",-0.0417447880652073,11.1012271075639,-0.336914459303434,0.747730861450675,0.815277977085925,-7.67819507161575,0.815277977085925
"HIKESHI",0.0400660094972078,10.0376941413184,0.336726046690973,0.7478658862096,0.81538127674487,-7.67826766174627,0.81538127674487
"QTRT1",0.0562760032299057,9.46331713241982,0.336467790296136,0.748050980042897,0.81553915151612,-7.67836709723312,0.81553915151612
"TF",-0.0958839265346194,6.51701378639852,-0.336332226548029,0.748148146733906,0.815601154631388,-7.67841926343856,0.815601154631388
"PRDM5",0.0330236663705659,8.23387210286103,0.336194329734657,0.748246990882411,0.815644688892016,-7.6784723066665,0.815644688892016
"ENSG00000258904",0.0396477655888141,5.02642765079791,0.33606626987987,0.748338788622891,0.815644688892016,-7.6785215472678,0.815644688892016
"SEC14L1",-0.0328611259844411,13.1465826835398,-0.336016805107716,0.748374247897606,0.815644688892016,-7.67854056225037,0.815644688892016
"STXBP4",-0.0458869091911396,8.64359026655042,-0.336003509653555,0.748383778980811,0.815644688892016,-7.67854567275811,0.815644688892016
"LMCD1",0.0445263621541212,8.23044234766513,0.335995440026412,0.748389563860605,0.815644688892016,-7.6785487744671,0.815644688892016
"PARP8",0.0405345649416482,9.7300271042462,0.33584037645133,0.748500727895672,0.815721920709433,-7.67860836206225,0.815721920709433
"MAD2L2",-0.052617441987227,9.46635557493681,-0.335772401812943,0.748549460549186,0.815731109668142,-7.67863447490407,0.815731109668142
"PDZK1",0.0488722776467609,5.87904474785207,0.334841205025554,0.749217186190387,0.816364611507687,-7.67899168697362,0.816364611507687
"ENSG00000258674",-0.084149733510265,6.06931205576604,-0.33482714463189,0.74922727019216,0.816364611507687,-7.678997073295,0.816364611507687
"ENSG00000259137",-0.120192804123231,4.90174983765444,-0.33475436338552,0.749279469189224,0.816364611507687,-7.67902495119352,0.816364611507687
"HNRNPUL2-BSCL2",0.0447512253773912,12.1393132686315,0.334736727950451,0.749292117612263,0.816364611507687,-7.67903170533639,0.816364611507687
"ENSG00000269947",0.0549738552174892,5.04210978916744,0.334382517647329,0.749546181164507,0.816597462347317,-7.67916729072507,0.816597462347317
"CCDC112",-0.0344953017128535,9.03322472782042,-0.333911750100025,0.749883900831076,0.816893691179613,-7.67934727816548,0.816893691179613
"ENSG00000241168",-0.0662502356898909,5.68363869086535,-0.333840289490753,0.749935170632689,0.816893691179613,-7.67937457817958,0.816893691179613
"ENSG00000251410",0.0378398590289715,5.28501926528934,0.333834726934076,0.749939161577964,0.816893691179613,-7.67937670300059,0.816893691179613
"ENSG00000286705",-0.0453897934243148,5.25472318375633,-0.333739671934163,0.750007361621243,0.816924016928137,-7.67941300744738,0.816924016928137
"ENSG00000273673",0.304354422209856,11.2810707946915,0.333468977309342,0.750201593136376,0.81709160819379,-7.67951633954159,0.81709160819379
"NUP62",-0.0394540133750176,11.0522355799286,-0.332898183482179,0.750611220697885,0.817493770145058,-7.67973396359337,0.817493770145058
"CYB561A3",-0.0735424591880633,10.9126580418311,-0.332617524650949,0.750812666953977,0.817669169902908,-7.67984083742707,0.817669169902908
"CTBS",0.0484794150236869,10.3281448191202,0.332329399864869,0.751019494419123,0.817813307093622,-7.67995046392232,0.817813307093622
"DYNC2H1",-0.0534316442680751,11.2041878871449,-0.332320579475697,0.751025826404636,0.817813307093622,-7.67995381848375,0.817813307093622
"ZNF777",0.0408935452294887,9.1545867415835,0.331731195131747,0.751448982137139,0.81823007409962,-7.68017777813493,0.81823007409962
"H2AW",-0.0488470804351611,8.45049500554057,-0.331460382407073,0.751643447282101,0.818397795397365,-7.68028055557173,0.818397795397365
"PEX19",-0.0311712309001937,11.1599974327639,-0.33091670351688,0.752033912524524,0.8187788942719,-7.6804866455309,0.8187788942719
"FER1L5",-0.0455534380584819,5.56049016098033,-0.330454950751332,0.752365602443169,0.819095963804442,-7.68066142402949,0.819095963804442
"PSMD14-DT",-0.04343179010736,5.05046696026383,-0.330178181876303,0.752564441090389,0.819268372619296,-7.68076607132897,0.819268372619296
"ENSG00000280434",-0.0689688015534946,5.76405527045679,-0.330091026568728,0.752627060262319,0.819292477507239,-7.68079900756218,0.819292477507239
"ENSG00000276698",-0.04550921566487,5.18618415074769,-0.32980700308567,0.752831139224089,0.819421287250794,-7.68090628265742,0.819421287250794
"ENSG00000284802",-0.04550921566487,5.18618415074769,-0.32980700308567,0.752831139224089,0.819421287250794,-7.68090628265742,0.819421287250794
"MTOR",0.0294644427847359,11.8231337925954,0.329757322287948,0.752866838545676,0.819421287250794,-7.68092503784626,0.819421287250794
