"","logFC","AveExpr","t","P.Value","adj.P.Val","B","BH"
"HAT1",0.694034047429453,10.970213602619,7.2346356135002,0.000365170721597969,0.00309929713864944,0.13593583593798,0.00309929713864944
"ITGA6",-0.85366923584537,12.9838070820431,-7.23456288485018,0.000365190636612762,0.00309929713864944,0.135874143913537,0.00309929713864944
"TSFM",0.683138155865384,12.388654445549,7.23045184122868,0.000366318384645997,0.00310756513982381,0.132386119650014,0.00310756513982381
"EHD4",-1.02760656835896,9.67194129762857,-7.22916686786449,0.000366671702942711,0.0031092592958791,0.131295544565325,0.0031092592958791
"NRCAM",-1.31750730844669,6.09330727560648,-7.22352245689792,0.000368228354524703,0.00312115164318866,0.126503153511505,0.00312115164318866
"HNRNPR",0.645147938953661,12.7555729653275,7.22250572462005,0.000368509563637304,0.00312222774281401,0.125639567182737,0.00312222774281401
"RHOBTB2",-0.908896820326084,8.49250641368493,-7.2167402076849,0.000370108882966674,0.00313446606699935,0.120740583467635,0.00313446606699935
"TRA2B",0.75465513175714,11.9305717679212,7.21493443314969,0.000370611436584259,0.00313740948887578,0.119205544167168,0.00313740948887578
"PKD1P4",-1.46520563504058,8.55062264829856,-7.21437361742272,0.000370767673532115,0.00313741993309512,0.118728745528489,0.00313741993309512
"ENSG00000288550",-2.11138408341502,8.29491735255257,-7.20465050400828,0.000373488517125288,0.00315912288973379,0.1104574032913,0.00315912288973379
"ENSG00000272788",0.990293877916514,5.29604304236159,7.20300326789339,0.000373951741500848,0.00316040018044988,0.109055205224514,0.00316040018044988
"ENSG00000286037",1.07804177799776,8.58235267023152,7.20271876889232,0.000374031813328471,0.00316040018044988,0.108813000657896,0.00316040018044988
"GNL3L",0.665037772471054,11.1686583982505,7.20244834894361,0.000374107940929693,0.00316040018044988,0.108582774790471,0.00316040018044988
"RPF2",0.734106834483855,10.0775491660848,7.20006042454188,0.000374780955346426,0.00316387892969492,0.106549471655882,0.00316387892969492
"HNRNPKP2",-0.726677158484165,5.35131798273579,-7.19935003536034,0.000374981440969335,0.00316387892969492,0.10594447215838,0.00316387892969492
"SMAD7",0.791850240110732,7.38273479232375,7.19932444909837,0.000374988664213137,0.00316387892969492,0.105922680823371,0.00316387892969492
"MOV10",-0.739593126216997,11.70751720038,-7.19720020776365,0.000375588916858647,0.00316762302755661,0.104113281724997,0.00316762302755661
"NOL11",0.787693545643391,10.6237633467025,7.19629609305305,0.00037584473062191,0.00316846030508875,0.103343035741687,0.00316846030508875
"NME1",0.856550622721862,11.0583715009783,7.19570861287473,0.000376011062106881,0.00316854284267502,0.102842498654538,0.00316854284267502
"POLR1D",0.810022288812448,10.3333554435904,7.19360788363186,0.000376606529063308,0.00317224001446958,0.101052387240918,0.00317224001446958
"HEATR3",0.69868180622637,9.36180499068692,7.19282574313165,0.00037682850981759,0.00317278946223704,0.100385785347844,0.00317278946223704
"ABHD5",0.689664358679719,8.8037844165192,7.18912219909097,0.000377881667410186,0.00317916636626076,0.0972285205924548,0.00317916636626076
"EEPD1",-0.959379744406201,5.45090574479596,-7.18905777038499,0.000377900018636598,0.00317916636626076,0.097173583364035,0.00317916636626076
"DNAL1",0.731673105487999,9.32597245297659,7.18771099608498,0.00037828385534037,0.00318107333441813,0.0960251195623183,0.00318107333441813
"UQCRC2",0.6737038234577,11.9912657201533,7.18677668668633,0.000378550401446147,0.0031819928055114,0.0952282815666354,0.0031819928055114
"RET",-1.21657321460046,5.35715840873984,-7.18251881145556,0.000379767858609434,0.00318958696722155,0.0915958150682661,0.00318958696722155
"ZSWIM5",-0.831485466356378,6.18796425171069,-7.18205363709499,0.000379901139203429,0.00318958696722155,0.0911988592763109,0.00318958696722155
"COPS4",0.671367042989418,10.6674205032638,7.18196481836262,0.000379926593447515,0.00318958696722155,0.0911230635444866,0.00318958696722155
"ENSG00000284697",-0.766513189949256,5.79520088258949,-7.17807914565969,0.000381042099139069,0.00319762567523793,0.087806369135655,0.00319762567523793
"N4BP2L1",-0.887398222933673,6.93783947827504,-7.17717336535568,0.000381302673845609,0.00319848629146663,0.0870330094218037,0.00319848629146663
"RPL22L1",0.703657140688419,8.88638100643715,7.17380119947395,0.000382274583336922,0.00320296216254305,0.0841531303140899,0.00320296216254305
"SRPX2",-0.674218554901877,9.67647697131202,-7.17343832792599,0.000382379338317406,0.00320296216254305,0.0838431662340877,0.00320296216254305
"CLEC2B",-0.781125611295072,5.58199825514896,-7.17299294333521,0.000382507958624053,0.00320296216254305,0.0834627020381076,0.00320296216254305
"HSPA14",0.936921394457647,9.46456222707563,7.17280013083123,0.000382563655397175,0.00320296216254305,0.0832979883412523,0.00320296216254305
"DNAJC15",0.687497485322064,9.90837038445947,7.17223414837225,0.000382727201830972,0.00320296216254305,0.0828144661468375,0.00320296216254305
"MAP1B",-0.773249468196871,13.7299506484127,-7.17203175225167,0.000382785705804636,0.00320296216254305,0.0826415503034807,0.00320296216254305
"RPL17",0.705831682487661,13.7931824645586,7.17118209304321,0.000383031417942024,0.00320369377296054,0.0819156054872225,0.00320369377296054
"VASH1",-1.34409553369426,7.87342906017801,-7.16881049259561,0.000383718220260135,0.00320811255526038,0.079888946386216,0.00320811255526038
"C15orf39",-1.20513058984331,8.02527899903139,-7.16622879403021,0.000384467478253103,0.00321304963968665,0.0776821195069575,0.00321304963968665
"PHLDB1",0.734285229604497,10.9332524827128,7.16505316284973,0.000384809226851178,0.00321383698555718,0.0766769771855174,0.00321383698555718
"PAIP2",0.776305128173508,11.0425271946942,7.16481243618195,0.00038487924771457,0.00321383698555718,0.0764711437116672,0.00321383698555718
"CHI3L2",-0.840448489717076,7.90923411726506,-7.16325697852011,0.000385332041983994,0.00321629107703012,0.075141011501894,0.00321629107703012
"CD63",-1.01875683489562,13.4005820899474,-7.16049785582382,0.000386136733283612,0.00322167915020346,0.0727809936268438,0.00322167915020346
"DNAH1",-0.965822115569625,8.52543484448327,-7.15895097138437,0.000386588724650947,0.00322412129199004,0.071457537313969,0.00322412129199004
"PPM1G",0.729802519869923,11.691175822968,7.1580951382588,0.000386839056241057,0.00322488028722209,0.0707252174737301,0.00322488028722209
"ZNF121",0.791018391019424,10.5919805972665,7.15605746705595,0.000387435827542989,0.00322852556002373,0.0689813316668255,0.00322852556002373
"MIS18BP1",1.13362796584689,10.5964131070017,7.15275842261576,0.000388404264985771,0.0032352636739,0.0661570673885983,0.0032352636739
"SUV39H1",0.873885084268535,8.42808837403906,7.15216842641242,0.000388577752525927,0.00323537732985491,0.0656518672236315,0.00323537732985491
"FOXG1-AS1",1.5112558924014,6.28090604691508,7.14842771586951,0.000389679781387275,0.00324321893711342,0.0624479851576893,0.00324321893711342
"RFK",1.0275343871154,8.93936501550466,7.14572398441816,0.000390478552372364,0.0032485311872458,0.0601314071631709,0.0032485311872458
"FLOT2",-0.844567852970973,11.5011069745763,-7.14512512554532,0.000390655729833829,0.00324866993737326,0.0596182027772807,0.00324866993737326
"RIPK1",-0.749569317195942,10.8957346933539,-7.14448719550797,0.000390844568646894,0.00324890550882208,0.0590714766608995,0.00324890550882208
"GGT7",-1.16669134050041,7.32455956541091,-7.14336470952129,0.000391177099974995,0.00325033484425036,0.0581093734195708,0.00325033484425036
"CASC3",0.659797424969511,10.9025598378221,7.14240013394774,0.000391463111291138,0.00325108207096206,0.05728251880433,0.00325108207096206
"FNDC4",-1.27229096084606,7.5983180607547,-7.14197830431459,0.000391588265846821,0.00325108207096206,0.0569208886628694,0.00325108207096206
"KLK5",-1.19933905784415,5.16082556629961,-7.14072012450521,0.000391961834639707,0.00325176135940746,0.0558421599773746,0.00325176135940746
"UCHL3",0.853386805218541,9.21166203289381,7.14062064231456,0.000391991389602994,0.00325176135940746,0.0557568600262996,0.00325176135940746
"CCNB1IP1",0.652862165754147,10.293547679294,7.13896032974446,0.000392485027431345,0.00325452250726664,0.0543330984227746,0.00325452250726664
"SLC19A2",0.795292860608342,7.89804800341354,7.13694357938163,0.000393085602895152,0.00325816776748599,0.0526033160639514,0.00325816776748599
"BMP8B",-0.765100799766215,6.51651319782388,-7.13543428459709,0.00039353575350514,0.00325917801990467,0.0513085195381286,0.00325917801990467
"SLC30A1",-0.870321214827667,10.6526248621539,-7.13520040672967,0.000393605561204754,0.00325917801990467,0.0511078598404957,0.00325917801990467
"CANX",0.838771852444118,15.267212714318,7.13491575895778,0.000393690541903409,0.00325917801990467,0.0508636339063653,0.00325917801990467
"VSTM2L",-1.38338263196634,7.82798190445996,-7.1326394342632,0.000394370891873125,0.00326347556108091,0.0489102741943706,0.00326347556108091
"ENSG00000271992",0.672449775984935,5.29320588164432,7.13152585875353,0.000394704211292266,0.00326465539476524,0.0479545062931814,0.00326465539476524
"TMEM63B",-0.851636647799596,10.490633174928,-7.13108571551289,0.000394836045965383,0.00326465539476524,0.0475767030726786,0.00326465539476524
"IL6ST",-0.982542159593685,13.6307669627242,-7.129491364386,0.000395314021341715,0.00326727280766748,0.0462080087466825,0.00326727280766748
"EPRS1",0.825258672453574,14.0317293741392,7.12851512074678,0.00039560702119139,0.00326835988405507,0.0453698138837897,0.00326835988405507
"HDGF",0.80344842256646,12.9543448389369,7.12485227730921,0.000396708580699364,0.00327304836500568,0.0422240859108092,0.00327304836500568
"NDUFB3",0.73227722934322,9.73836624649666,7.12482837856552,0.000396715779566601,0.00327304836500568,0.04220355680207,0.00327304836500568
"SP4",1.10522215793206,8.45766967824251,7.12407542043086,0.000396942665403456,0.00327304836500568,0.0415567340513459,0.00327304836500568
"ZSWIM8",-0.809559948569884,11.9512846923412,-7.12399224950465,0.000396967736123001,0.00327304836500568,0.0414852832815615,0.00327304836500568
"TMEM87A",-0.665760919144805,10.8753303329138,-7.12394147874577,0.000396983041158487,0.00327304836500568,0.0414416666241735,0.00327304836500568
"LDHA",0.712190841859531,14.8034639029014,7.12181769027529,0.000397623874093918,0.00327699708287256,0.039616912355962,0.00327699708287256
"ESR1",1.0179137352053,7.01396575914383,7.12018863215355,0.000398116233974066,0.00327971945131016,0.038216926638003,0.00327971945131016
"APPL2",0.680976232157461,9.26417187116803,7.11747038906279,0.000398939348069405,0.00328516328082703,0.0358803280741329,0.00328516328082703
"RERE",-0.709725947030719,10.9898162282391,-7.11423967155252,0.000399920194162266,0.00329190103702254,0.0331022548496946,0.00329190103702254
"ALYREF",0.892087462441646,11.1463438830423,7.11342413315799,0.00040016823032023,0.00329200113282645,0.0324008150617532,0.00329200113282645
"CHCHD3",0.759317342853798,10.7128873068787,7.11313031520046,0.000400257634893824,0.00329200113282645,0.0321480878000751,0.00329200113282645
"RPS18P12",-0.728880775428983,5.09311955157861,-7.11250761438927,0.000400447189798148,0.00329222240808461,0.031612443937818,0.00329222240808461
"MAGOHB",0.695168358851371,9.94205086445454,7.11006667690695,0.000401191227014527,0.00329700025416201,0.0295123918702176,0.00329700025416201
"KLRC3",-0.968054238653102,6.25023317107174,-7.10940805376885,0.000401392258532145,0.0032973135977878,0.0289456464780029,0.0032973135977878
"PSMA5",0.652159982629119,11.6708889041915,7.10737698596536,0.00040201293182774,0.00330107251648084,0.0271976409941104,0.00330107251648084
"RASA3",-0.752138651777734,9.51970315216722,-7.10557515028915,0.000402564479073781,0.00330426099794501,0.025646577623549,0.00330426099794501
"STAP2",-0.743253916372281,8.19041428098672,-7.10400768988807,0.000403044991895877,0.00330594747449412,0.0242970078938427,0.00330594747449412
"ST6GALNAC5",0.65564493966278,10.7321331346946,7.10383945530108,0.000403096604271107,0.00330594747449412,0.0241521448809019,0.00330594747449412
"SNCAIP",-0.974898746038594,6.71256933141752,-7.10259607976209,0.000403478293116046,0.00330773759860749,0.0230814150350573,0.00330773759860749
"TNFSF10",-1.04159527619827,8.15647475848939,-7.10075158724829,0.000404045278192746,0.00331104472708477,0.0214927518010368,0.00331104472708477
"MCM2",0.927040017903874,10.7761526824073,7.09750476637306,0.00040504555951257,0.00331789849052769,0.0186954402019088,0.00331789849052769
"ENSG00000276672",0.997015932912238,6.13407486713432,7.09557591234959,0.000405641150895502,0.00332143306443198,0.0170331318891037,0.00332143306443198
"KIAA0319L",-0.676668308753213,11.6347933879299,-7.0945863937561,0.000405947085548922,0.00332259399862343,0.016180209888156,0.00332259399862343
"ENSG00000288612",-0.674513589626321,6.54018988243312,-7.0924132245755,0.00040661990826405,0.00332675568438668,0.014306690588052,0.00332675568438668
"ARRDC2",-0.763394239129214,9.12745858846329,-7.08930291284894,0.000407585108860534,0.00333330512664488,0.0116244297696513,0.00333330512664488
"MRPL47",0.689179402701265,9.98427502557892,7.08725155922517,0.000408223133821163,0.00333717465738051,0.00985486265440727,0.00333717465738051
"CAPSL",1.04790058257967,5.20249689274958,7.08470919353935,0.000409015472329329,0.00334230204901815,0.0076611500858661,0.00334230204901815
"SFMBT2",-0.956451964148504,7.39321343945581,-7.08391065025421,0.000409264706761675,0.00334298907569131,0.00697198390536968,0.00334298907569131
"AP2A2",-0.722989715558429,11.6378748865034,-7.08276141879442,0.000409623701829965,0.00334457174213002,0.00598005200573049,0.00334457174213002
"TNFAIP8L1",1.05654096085562,8.69958947889905,7.08073266379813,0.000410258326079879,0.00334711734789697,0.0042286587472109,0.00334711734789697
"NAT1",1.32288042798411,7.74485069650073,7.08070751750706,0.000410266199304994,0.00334711734789697,0.0042069477618627,0.00334711734789697
"AMMECR1",0.755879631974128,10.7415555519253,7.07956091853959,0.000410625380674253,0.00334869795738419,0.0032169218990914,0.00334869795738419
"ZNF788P",0.782647742940583,8.24583335278123,7.07892935753689,0.000410823376825506,0.0033489633388341,0.00267154729333274,0.0033489633388341
"GNPNAT1",0.966753125774227,10.6950148777385,7.07753723042444,0.000411260200772012,0.00335117460701542,0.00146925718149493,0.00335117460701542
"IL1R1",-0.777648345080749,9.2632518063676,-7.07652970706704,0.000411576676579899,0.0033515882211405,0.000599003797652209,0.0033515882211405
"ENSG00000273807",-0.651351590599095,8.60402524582671,-7.07632144829425,0.000411642128242443,0.0033515882211405,0.000419106594563345,0.0033515882211405
"IFT74",0.801650230493289,9.44742513737268,7.07473562716127,0.000412140913946787,0.00335367224564405,-0.000950892663440506,0.00335367224564405
"TM4SF4",1.88685372927716,5.51477922198757,7.07445433051333,0.00041222946233696,0.00335367224564405,-0.00119393254573197,0.00335367224564405
"DLC1",0.744101313134953,10.6038929870786,7.0705428675698,0.000413463009988245,0.00336235628170834,-0.00457424971870513,0.00336235628170834
"TMEM167B-DT",0.677570716846224,7.81767516075249,7.0677503800353,0.000414346268728054,0.00336818587362431,-0.00698847485979481,0.00336818587362431
"TRMT9B",1.06875340948122,7.90257903004766,7.06537638915459,0.000415098865877117,0.00337156156283981,-0.00904150485861255,0.00337156156283981
"KDELR3",-0.665413528456291,11.0465808999462,-7.06487446941364,0.000415258184729488,0.00337156156283981,-0.00947563780385874,0.00337156156283981
"SSR3",0.653702880955871,12.9587533966538,7.06457359969527,0.000415353720225129,0.00337156156283981,-0.00973588562839467,0.00337156156283981
"ENSG00000288632",1.05259098841604,7.39027788240989,7.06397072396926,0.000415545228160417,0.00337156156283981,-0.0102573914050508,0.00337156156283981
"DUSP2",-1.08662510897369,7.06875053064804,-7.06381600385725,0.000415594392534229,0.00337156156283981,-0.0103912348553425,0.00337156156283981
"E2F1",1.35413506308151,9.74018151020983,7.06151767105747,0.00041632550727244,0.00337581247576625,-0.0123797315859173,0.00337581247576625
"LINC01527",0.749538519140549,5.18730568041647,7.06112068282175,0.000416451941701909,0.00337581247576625,-0.0127232557598544,0.00337581247576625
"ZFYVE28",-1.11611116538424,7.52697794424056,-7.06017339260185,0.000416753817120489,0.00337690713063884,-0.0135430341938889,0.00337690713063884
"C1orf216",-0.859375940629842,10.2741833752177,-7.05819501576128,0.000417385084130706,0.00337941156451348,-0.0152553976640499,0.00337941156451348
"SEC16B",-0.819532419970535,6.18170194996674,-7.05755997637982,0.000417587947852254,0.00337941156451348,-0.0158051324920212,0.00337941156451348
"IARS2",0.667486681959614,12.2406479104175,7.05656134136237,0.000417907191997609,0.00337941156451348,-0.0166697030302076,0.00337941156451348
"ADGRE5",-0.827903516951601,10.8212933071961,-7.05641551597024,0.000417953833030891,0.00337941156451348,-0.0167959600549388,0.00337941156451348
"LINC02901",1.14673000005964,5.31883803641677,7.05623023122433,0.000418013103450691,0.00337941156451348,-0.0169563844403839,0.00337941156451348
"LRRC20",-0.770073692720203,8.58674875811129,-7.05606912015113,0.000418064648858345,0.00337941156451348,-0.0170958814226978,0.00337941156451348
"MGAT5B",-1.39993367896139,10.323565676958,-7.05324434884279,0.000418969587506164,0.00338537461904682,-0.019542114034631,0.00338537461904682
"WEE1",0.728495326882326,10.7092252112711,7.05070596042469,0.000419784704563108,0.00339037730226229,-0.0217410233845916,0.00339037730226229
"PHF6",0.815668932284144,11.6813960752859,7.05011487851396,0.000419974772276832,0.00339037730226229,-0.0222531479135997,0.00339037730226229
"SLC37A2",-0.817356614925224,10.8591247914123,-7.049752912611,0.000420091214568145,0.00339037730226229,-0.022566779307744,0.00339037730226229
"KRT10",0.676954850913102,9.42460029491363,7.04479928612725,0.000421688506295647,0.00340191193939027,-0.0268602526268227,0.00340191193939027
"AP4E1",0.849665414337579,9.97997675040716,7.04371904197403,0.000422037757504296,0.00340337300782647,-0.0277968634009493,0.00340337300782647
"SMC3P1",-1.03840006043868,5.65790837868224,-7.04283530555529,0.000422323723826985,0.00340349510695273,-0.0285631820033201,0.00340349510695273
"TNFSF4",-0.894495044052046,6.03843159759534,-7.0426330715701,0.000422389195625971,0.00340349510695273,-0.0287385571579746,0.00340349510695273
"NCKAP5L",-0.901162164534439,10.0044334535474,-7.04209587713821,0.000422563165191442,0.00340354199229606,-0.0292044263874445,0.00340354199229606
"PNN",0.754472521552298,11.514400065749,7.04143528598949,0.000422777209644686,0.00340391149579081,-0.0297773482561823,0.00340391149579081
"MRPS18C",0.715577872241202,9.83439224164781,7.0405412742644,0.000423067085653103,0.00340489100624432,-0.0305527824824399,0.00340489100624432
"MARCKSL1",-0.894051149526124,12.1068501182483,-7.03959765289646,0.000423373295325861,0.00340578018399986,-0.03137133347842,0.00340578018399986
"CEP152",1.42007579500197,8.56711459610103,7.03876289295925,0.000423644391566225,0.00340578018399986,-0.0320955264531451,0.00340578018399986
"AGK",0.751949035986092,10.2354921634961,7.03864605169657,0.000423682352814171,0.00340578018399986,-0.0321968972568634,0.00340578018399986
"PODXL",-0.658553865376879,12.8464753986345,-7.03806756120783,0.000423870359683854,0.00340593884492294,-0.0326988124747576,0.00340593884492294
"DERA",0.713021286374047,10.7638152480589,7.03680094301456,0.000424282340366664,0.00340750427977431,-0.0337978848242182,0.00340750427977431
"RPL19",0.716465873685351,14.2140910600156,7.03625985026873,0.000424458476843673,0.00340750427977431,-0.0342674520231947,0.00340750427977431
"MMP15",-1.29773994680405,8.29651153481207,-7.03591671275558,0.00042457021854606,0.00340750427977431,-0.0345652463964772,0.00340750427977431
"EPHB1",0.934478806419978,8.00178282185191,7.03489960164393,0.000424901636668036,0.00340881253578982,-0.0354480232008232,0.00340881253578982
"TTLL4",-0.831691684647607,10.4576222895666,-7.03437447436607,0.0004250728620267,0.00340883510312299,-0.0359038353526513,0.00340883510312299
"ST3GAL6",-0.870890176073967,7.05223366894836,-7.03373711248675,0.000425280789785548,0.00340915186774229,-0.0364571047615154,0.00340915186774229
"ERI2",0.99146516390228,8.6810236743104,7.03119258932153,0.000426112061528244,0.00341446327687774,-0.0386663150560791,0.00341446327687774
"PPA2",0.688496500592027,10.7530361821788,7.02009041566714,0.000429760982515283,0.00344233955167861,-0.0483130918263317,0.00344233955167861
"RAB20",-1.2965601674931,6.33038779804979,-7.0191324823306,0.00043007750535132,0.00344299739109167,-0.0491460307574298,0.00344299739109167
"ENSG00000288983",0.822062825099969,7.7301518240973,7.01876128710004,0.000430200228755617,0.00344299739109167,-0.0494688160510268,0.00344299739109167
"ARHGEF5",-0.777261274380397,9.82925531759832,-7.01794553174325,0.000430470072850072,0.00344299739109167,-0.0501782323875686,0.00344299739109167
"ETF1",0.692155342107426,12.6953424588053,7.01736189385154,0.000430663254223242,0.00344299739109167,-0.0506858304807807,0.00344299739109167
"BTG1-DT",-1.40303301141132,7.02606626675217,-7.0172702055217,0.000430693611691325,0.00344299739109167,-0.0507655762361336,0.00344299739109167
"PRKCH",-1.06013352276733,6.59753061625147,-7.01645398605662,0.000430963965721952,0.00344379851171656,-0.0514755189949323,0.00344379851171656
"TRAPPC9",-0.763663570265162,8.99642195129642,-7.0157312228047,0.000431203527547958,0.00344435303910743,-0.0521042302294461,0.00344435303910743
"TMEM52",0.644808741772048,5.24183064769793,7.01463443501501,0.000431567353566979,0.00344589933078865,-0.0530583955039665,0.00344589933078865
"CPB1",1.2045917964057,4.89205365449411,7.01071592638414,0.000432870088142442,0.00345493827054068,-0.0564683468594875,0.00345493827054068
"PCDHB10",-0.647002523035615,8.72892201242283,-7.00713987337506,0.000434062921364935,0.003462570886166,-0.0595816413395713,0.003462570886166
"CLDN23",-1.0069514338601,6.0190128958767,-7.00654406602348,0.000434262027049776,0.003462570886166,-0.060100473951211,0.003462570886166
"NABP1",1.05329371786143,11.1873517048198,7.00631207417768,0.000434339582035249,0.003462570886166,-0.0603025035478124,0.003462570886166
"CDCA7L",0.745377997038263,11.0374985196214,7.0048027184765,0.00043484454968538,0.00346523170479597,-0.0616170555652911,0.00346523170479597
"HNRNPC",0.638804314756213,13.5820175421424,7.00342712214963,0.00043530535545258,0.00346753864609038,-0.0628153124109341,0.00346753864609038
"NPIPB11",-1.00052136630907,7.68284461646935,-6.99996852149752,0.000436466423255566,0.00347466404467584,-0.0658288820258397,0.00347466404467584
"HBS1L",0.692038706719449,11.2673807949322,6.99974022746918,0.000436543187866739,0.00347466404467584,-0.066027843199441,0.00347466404467584
"MT2A",-1.76322086608748,11.0920123322684,-6.98995241453488,0.000439849029186664,0.00349960070745568,-0.0745630122236616,0.00349960070745568
"ZCRB1",0.648631793565611,10.455461181683,6.98732343575384,0.000440741869902201,0.00350532659673495,-0.0768571887271037,0.00350532659673495
"IRF2BPL",-1.39264753728851,10.2665004620466,-6.98622043457373,0.000441117086507847,0.0035059734165423,-0.0778199307209677,0.0035059734165423
"TMEM125",-0.77181879940039,6.01823086559366,-6.9859334404057,0.000441214775821123,0.0035059734165423,-0.0780704505437431,0.0035059734165423
"PTN",-0.736837889799768,10.2616811669282,-6.98555734398007,0.0004413428321402,0.0035059734165423,-0.0783987611917842,0.0035059734165423
"IMMP1L",0.861076912334167,7.54915503078782,6.98100423640854,0.000442896507890716,0.00351556038634307,-0.0823745025044982,0.00351556038634307
"AP5B1",-0.928827766470137,10.4102309676889,-6.9810026804026,0.000442897039927613,0.00351556038634307,-0.0823758615576677,0.00351556038634307
"DNMT1",0.669620920177374,11.772435545757,6.97864468939256,0.000443704140882685,0.00352058624680769,-0.0844356704507314,0.00352058624680769
"BACE1",-0.695120171895029,10.8434449055339,-6.97669042419349,0.000444374335777732,0.0035214008205301,-0.0861432352150437,0.0035214008205301
"HADHA",0.630156731140241,12.6225193161482,6.97645587197521,0.000444454851269353,0.0035214008205301,-0.0863482043707862,0.0035214008205301
"DEF6",-0.663941379161464,7.86525509874095,-6.97644654335014,0.000444458053883395,0.0035214008205301,-0.0863563565321153,0.0035214008205301
"IDUA",-1.44317051700753,8.73690878897847,-6.97631651329073,0.000444502697320014,0.0035214008205301,-0.0864699889920573,0.0035214008205301
"RPL26",0.690252355568788,13.7601781377698,6.97384813236623,0.000445351149943889,0.00352583508995422,-0.0886274177582953,0.00352583508995422
"AXL",0.75038243204998,13.6015408506113,6.97367475135862,0.000445410815918825,0.00352583508995422,-0.0887789805297965,0.00352583508995422
"B3GALT1",-1.103385253179,8.63616211964304,-6.97229103971299,0.000445887325265314,0.00352822726766819,-0.0899886757074837,0.00352822726766819
"ATP1A1-AS1",-0.926856148331613,7.8543609027365,-6.96876480117317,0.000447104311495229,0.00353647454825125,-0.0930723329445708,0.00353647454825125
"ME2",0.718356559858295,10.819497537539,6.96739691505249,0.000447577428908913,0.00353883388224426,-0.0942688751506742,0.00353883388224426
"RBPMS",-0.774451392554469,7.90917827144417,-6.96533339302561,0.000448292239514142,0.00354310160874883,-0.0960742771178742,0.00354310160874883
"BRCA2",0.911576383054687,9.13891034823057,6.96372488343699,0.000448850343311909,0.00354612794651692,-0.0974818836376654,0.00354612794651692
"TUBA4A",0.942441780295557,9.9870054471828,6.96264391382638,0.000449225855910124,0.00354770992956567,-0.0984279880890249,0.00354770992956567
"UNC13A",-0.886420724740088,6.04498545195413,-6.95886684565919,0.00045054079321977,0.00355670678454031,-0.101734752445279,0.00355670678454031
"MOCOS",0.668997286760536,9.72272219374757,6.95780612990005,0.000450910863629011,0.0035582404642163,-0.102663654164836,0.0035582404642163
"SERPINB4",1.18512446766994,5.03654006349014,6.95574022090186,0.000451632637584251,0.00356171421452359,-0.104473164226809,0.00356171421452359
"PARK7",0.709824785328697,12.0146724205913,6.95553903300725,0.000451702998304533,0.00356171421452359,-0.104649406057903,0.00356171421452359
"DOCK6",-1.06244960862984,9.39344897784155,-6.95362547071475,0.000452372852309601,0.00356560704968794,-0.106325904846909,0.00356560704968794
"LRRC15",-0.740053997264543,6.27923277838149,-6.95185941599733,0.000452992084577258,0.00356909800853573,-0.107873501816406,0.00356909800853573
"GLMN",1.01054394306222,8.68118913331453,6.9467126911483,0.000454802251124348,0.00358196590078129,-0.112385402839737,0.00358196590078129
"GUCY1A2",-1.31216731919123,5.6569683361883,-6.94617674375256,0.00045499122833783,0.00358206046393855,-0.112855399276103,0.00358206046393855
"LOXL4",1.19768023877967,8.07643174149061,6.94484177765442,0.000455462335608213,0.0035843752469074,-0.11402621888019,0.0035843752469074
"NTAQ1",0.6579824257622,8.25971094970411,6.94372619023269,0.000455856454936792,0.00358484111611908,-0.115004774193157,0.00358484111611908
"ITPRIPL2",-0.818971861359776,10.2603340794379,-6.94356173093573,0.000455914588969359,0.00358484111611908,-0.115149043052537,0.00358484111611908
"RPL11",0.811117637145099,14.1968182762854,6.94317067268268,0.000456052856776178,0.00358484111611908,-0.115492102738476,0.00358484111611908
"NUP35",0.833821522715638,8.41597098394374,6.94188114591876,0.000456509141080433,0.00358703475334202,-0.116623463547306,0.00358703475334202
"WIPI1",-0.669972813480795,10.2892773181708,-6.93907449138928,0.000457504060210364,0.00359345738561039,-0.119086457950955,0.00359345738561039
"PLPP5",-0.658518407500601,12.3045546670449,-6.93604870625383,0.000458579453101309,0.00360050686975314,-0.1217426545858,0.00360050686975314
"CCDC150",0.875024141389932,7.54521308224776,6.93512103902249,0.000458909737061606,0.00360170298094764,-0.122557198423109,0.00360170298094764
"ZGRF1",1.15455937037577,8.43006416223732,6.93420425619252,0.000459236414633746,0.00360286987155103,-0.123362271731406,0.00360286987155103
"HERC2",-0.808861761365369,11.3023223683228,-6.93263450732561,0.000459796385164572,0.00360586541345064,-0.124740947403057,0.00360586541345064
"PTPN22",-0.987795630513157,5.87378205879752,-6.93058383525398,0.000460529097210382,0.00360947196939234,-0.126542387619655,0.00360947196939234
"SNRPG",0.721389486557516,10.4753196149351,6.93017473293521,0.000460675431493677,0.00360947196939234,-0.126901820569611,0.00360947196939234
"NAGK",-0.797813426299799,10.6833601471655,-6.92981715447022,0.000460803379704362,0.00360947196939234,-0.127215999259445,0.00360947196939234
"ENSG00000288018",-0.979555150620226,5.38254035733132,-6.92935287436025,0.000460969568740636,0.00360947196939234,-0.127623948630585,0.00360947196939234
"EFCAB10",0.707688037643748,5.62255745348374,6.92489009698124,0.00046257054084228,0.00362060723789195,-0.131546388116548,0.00362060723789195
"RASSF8-AS1",-0.93537353715973,9.10899261091501,-6.92346373600181,0.00046308358014448,0.00362322178032641,-0.132800481004952,0.00362322178032641
